image_rel_path,image_path,question,question_template_id,edge_head,question_type,target,answer_norm,count_capped,count_value,edge_answer,edge_class,head_id,image_id,question_id,question_length,question_norm,question_token_ids,split,target_edge_global,target_edge_head,target_original
images/valid_images/10169.JPG,dataset/images/valid_images/10169.JPG,Is the entire road non flooded?,22,binary,Road_Condition_Recognition,1,yes,,,yes,binary:yes,0,10169.JPG,12,6,is the entire road non flooded?,3 2 23 8 12 4 0 0 0 0 0,valid,1,1,50
images/valid_images/10169.JPG,dataset/images/valid_images/10169.JPG,What is the condition of the road in this image?,25,condition,Road_Condition_Recognition,4,non flooded,,,non_flooded,condition:non_flooded,1,10169.JPG,13,10,what is the condition of the road in this image?,5 3 2 15 6 2 8 10 11 7 0,valid,4,2,49
images/valid_images/10169.JPG,dataset/images/valid_images/10169.JPG,How many buildings can be recognized as non flooded?,7,count,Complex_Counting,11,4,4,4.0,4,count:4,3,10169.JPG,11,9,how many buildings can be recognized as non flooded?,13 16 14 29 30 47 48 12 4 0 0,valid,11,3,30
images/valid_images/10169.JPG,dataset/images/valid_images/10169.JPG,What is the level of density in this image?,13,density,Density_Estimation,6,moderate,,,moderate,density:moderate,2,10169.JPG,15,9,what is the level of density in this image?,5 3 2 36 6 37 10 11 7 0 0,valid,6,1,47
images/valid_images/10169.JPG,dataset/images/valid_images/10169.JPG,Do the rescuers need to provide help urgently?,18,binary,Risk_Assessment,0,no,,,no,binary:no,0,10169.JPG,17,8,do the rescuers need to provide help urgently?,25 2 26 19 27 45 28 46 0 0 0,valid,0,0,48
images/valid_images/10169.JPG,dataset/images/valid_images/10169.JPG,What is the overall condition of the given image?,17,condition,Entire_Image_Condition_Recognition,4,non flooded,,,non_flooded,condition:non_flooded,1,10169.JPG,14,9,what is the overall condition of the given image?,5 3 2 31 15 6 2 32 7 0 0,valid,4,2,49
images/valid_images/10169.JPG,dataset/images/valid_images/10169.JPG,How many buildings are in this image?,27,count,Simple_Counting,11,4,4,4.0,4,count:4,3,10169.JPG,16,7,how many buildings are in this image?,13 16 14 18 10 11 7 0 0 0 0,valid,11,3,30
images/valid_images/10173.JPG,dataset/images/valid_images/10173.JPG,What is the level of density in this image?,13,density,Density_Estimation,6,moderate,,,moderate,density:moderate,2,10173.JPG,46,9,what is the level of density in this image?,5 3 2 36 6 37 10 11 7 0 0,valid,6,1,47
images/valid_images/10169.JPG,dataset/images/valid_images/10169.JPG,Is there any flooded building?,0,binary,Building_Condition_Recognition,0,no,,,no,binary:no,0,10169.JPG,18,5,is there any flooded building?,3 20 21 4 22 0 0 0 0 0 0,valid,0,0,48
images/valid_images/10173.JPG,dataset/images/valid_images/10173.JPG,What is the condition of road?,24,condition,Road_Condition_Recognition,4,non flooded,,,non_flooded,condition:non_flooded,1,10173.JPG,47,6,what is the condition of road?,5 3 2 15 6 8 0 0 0 0 0,valid,4,2,49
images/valid_images/10173.JPG,dataset/images/valid_images/10173.JPG,How many buildings can be seen in the image?,29,count,Simple_Counting,10,3,3,3.0,3,count:3,3,10173.JPG,45,9,how many buildings can be seen in the image?,13 16 14 29 30 40 10 2 7 0 0,valid,10,2,21
images/valid_images/10809.JPG,dataset/images/valid_images/10809.JPG,How dense the area is?,12,density,Density_Estimation,6,moderate,,,moderate,density:moderate,2,10809.JPG,127,5,how dense the area is?,13 35 2 9 3 0 0 0 0 0 0,valid,6,1,47
images/valid_images/10173.JPG,dataset/images/valid_images/10173.JPG,Is the area mostly flooded?,14,binary,Entire_Image_Condition_Recognition,0,no,,,no,binary:no,0,10173.JPG,43,5,is the area mostly flooded?,3 2 9 17 4 0 0 0 0 0 0,valid,0,0,48
images/valid_images/10177.JPG,dataset/images/valid_images/10177.JPG,What is the condition of road?,24,condition,Road_Condition_Recognition,4,non flooded,,,non_flooded,condition:non_flooded,1,10177.JPG,70,6,what is the condition of road?,5 3 2 15 6 8 0 0 0 0 0,valid,4,2,49
images/valid_images/10173.JPG,dataset/images/valid_images/10173.JPG,How many buildings are non flooded in this image?,4,count,Complex_Counting,10,3,3,3.0,3,count:3,3,10173.JPG,50,9,how many buildings are non flooded in this image?,13 16 14 18 12 4 10 11 7 0 0,valid,10,2,21
images/valid_images/10815.JPG,dataset/images/valid_images/10815.JPG,What is the level of density in this image?,13,density,Density_Estimation,7,high,,,high,density:high,2,10815.JPG,175,9,what is the level of density in this image?,5 3 2 36 6 37 10 11 7 0 0,valid,7,2,45
images/valid_images/10173.JPG,dataset/images/valid_images/10173.JPG,Is there any non flooded building?,1,binary,Building_Condition_Recognition,1,yes,,,yes,binary:yes,0,10173.JPG,44,6,is there any non flooded building?,3 20 21 12 4 22 0 0 0 0 0,valid,1,1,50
images/valid_images/10177.JPG,dataset/images/valid_images/10177.JPG,what is the current state of the area?,16,condition,Entire_Image_Condition_Recognition,4,non flooded,,,non_flooded,condition:non_flooded,1,10177.JPG,71,8,what is the current state of the area?,5 3 2 33 34 6 2 9 0 0 0,valid,4,2,49
images/valid_images/10809.JPG,dataset/images/valid_images/10809.JPG,How many buildings are in this image?,27,count,Simple_Counting,11,4,4,4.0,4,count:4,3,10809.JPG,128,7,how many buildings are in this image?,13 16 14 18 10 11 7 0 0 0 0,valid,11,3,30
